a,eɪ
TUNE,tjuːn
turkish,tɜː(r)kɪʃ
TURN,tɜː(r)n
turned,tɜ:nd
TURNING,ˈtɜː(r)nɪŋ
TUSSLE,ˈtʌs(ə)l
tv,tiː
TWEAK,twiːk
twenty,twentɪ
twice,twaɪs
twin,twɪn
twinkling,ˈtwɪŋklɪŋ
TWIST,twɪst
twisted,twɪstɪd
two,tu:
TYCOON,ˌtaɪˈkuːn
tye,taɪ
TYPE,taɪp
unable,ʌneɪbəl
unattractive,ʌnətræktɪv
unawares,ʌnəweə(r)z
uncertain,ʌn'sɜ:tən
UNCERTAINTY,ʌnˈsɜː(r)t(ə)nti
unconnected,ʌnkənektɪd
unconscious,ʌn'kɒnʃəs
UNCOVER,ʌnˈkʌvə(r)
under,ʌndə
undercut,ʌndə(r)kʌt
UNDERESTIMATE,ˌʌndərˈestɪˌmeɪt
UNDERGO,ˌʌndə(r)ˈɡəʊ
UNDERGONE,ˌʌndə(r)ˈɡɒn
Underground,ˌʌndə'graʊnd
UNDERLINE,ˌʌndə(r)ˈlaɪn
UNDERLYING,ˌʌndə(r)ˈlaɪɪŋ
UNDERMINE,ˌʌndə(r)ˈmaɪn
UNDERPIN,ˌʌndə(r)ˈpɪn
UNDERPINNING,ˈʌndə(r)ˌpɪnɪŋ
UNDERSCORE,ˌʌndə(r)ˈskɔː(r)
UNDERSTAND,ˌʌndə(r)ˈstænd
UNDERSTANDING,ˌʌndə(r)ˈstændɪŋ
UNDERTAKEN,ˌʌndə(r)ˈteɪkən
UNDERTAKING,ˈʌndə(r)ˌteɪkɪŋ
UNDERVALUE,ˌʌndə(r)ˈvæljuː
UNDERWENT,ˌʌndə(r)ˈwent
UNDERWRITE,ˌʌndəˈraɪt
UNDERWRITER,ˈʌndəˌraɪtə(r)
UNDERWRITTEN,ˌʌndəˈrɪt(ə)n
undiscovered,ʌndɪskʌvə(r)d
undraw,ʌnˈdrɔːʌnˈdrɔ
UNEARTH,ʌnˈɜː(r)θ
unexpected,ʌnɪkspektɪd
unfocused,ʌnfoʊkəst
UNFOLD,ʌnˈfəʊld
ungrateful,ʌngreɪtfʊl
UNHINGE,ʌnˈhɪndʒ
uniform,ju:nɪfɔ:m
UNIFORMED,ˈjuːnɪfɔː(r)md
UNIFY,ˈjuːnɪfaɪ
uninterested,ʌnɪntrəstɪd
UNION,ˈjuːnjən
UNIT,ˈjuːnɪt
UNITE,juːˈnaɪt
universe,juːnɪvɜː(r)s
UNKNOWN,ʌnˈnəʊn
UNLEASH,ʌnˈliːʃ
unless,ən'les
UNLOAD,ʌnˈləʊd
UNLOCK,ʌnˈlɒk
UNMANNED,ʌnˈmænd
unmarried,ʌnmærid
unmindful,ʌnˈmaɪndfʊl
UNNERVE,ʌnˈnɜː(r)v
unseemly,ʌnsiːmli
unshaven,ʌnʃeɪvən
until,ən'tɪl
UNVEIL,ʌnˈveɪl
UNWIND,ʌnˈwaɪnd
UP,ʌp
UPDATE,ʌpˈdeɪt
UPEND,ʌpˈend
UPGRADE,ʌpˈɡreɪd
UPHELD,ʌpˈheld
upon,ə'pɒn
UPPER,ˈʌpə(r)
UPSET,ʌpˈset
UPSETTING,ʌpˈsetɪŋ
upturned,ʌptɜː(r)nd
URGE,ɜː(r)dʒ
URINATE,ˈjʊərɪneɪt
us,ʌs
USE,juːz
USED,juːzd
useless,juːsləs
USER,ˈjuːzə(r)
USHER,ˈʌʃə(r)
usually,juːʒuəli
UTILITY,juːˈtɪləti
VACANCY,ˈveɪkənsi
VACATIONER,vəˈkeɪʃ(ə)nə(r)
VAGRANT,ˈveɪɡrənt
vaguely,veɪgli
vain,veɪn
vainly,@vainly
VALIDATE,ˈvælɪdeɪt
valley,væli
VALUATION,ˌvæljʊˈeɪʃ(ə)n
VALUE,ˈvæljuː
valued,ˈvæljuːdˈvæljud
values,ˈvæljuːz
VALVE,vælv
VAN,væn
VANDALIZE,ˈvændəlaɪz
VANISH,ˈvænɪʃ
vanished,vænɪʃt
variable,veəriəbəl
VARIATION,ˌveərɪˈeɪʃ(ə)n
VARIED,ˈveərɪd
various,veəriəs
VARYING,ˈveəriɪŋ
VAULT,vɔːlt
VEER,vɪə(r)
VEGETABLE,ˈvedʒtəb(ə)l
VEHICLE,ˈviːɪk(ə)l
VEND,vend
vending,ˈvɛndɪŋ
VENDOR,ˈvendə(r)
VENTURE,ˈventʃə(r)
VENUE,ˈvenjuː
verdant,vɜː(r)dənt
Verde,@Verde
VERIFY,ˈverɪfaɪ
VERMIN,ˈvɜː(r)mɪn
VERSION,ˈvɜː(r)ʃ(ə)n
versus,vɜː(r)səs
VERTEBRATE,ˈvɜː(r)tɪbrət
very,verɪ
VESSEL,ˈves(ə)l
VEST,vest
vested,ˈvɛstɪd
VET,vet
VETERAN,ˈvet(ə)rən
vetting,ˈvɛtɪŋ
via,vaɪə
vice,vaɪs
VICTIM,ˈvɪktɪm
victorian,vɪktɔːriən
victory,vɪktəri
video,vɪdioʊ
VIEW,vjuː
VIEWING,ˈvjuːɪŋ
VILIFY,ˈvɪlɪfaɪ
village,vɪlɪdʒ
villager,vɪlɪdʒə(r)
VINTAGE,ˈvɪntɪdʒ
VIOLATE,ˈvaɪəleɪt
VIOLATION,ˌvaɪəˈleɪʃ(ə)n
violent,vaɪələnt
VIRUS,ˈvaɪrəs
VISA,ˈviːzə
vision,vɪʒən
VISIT,ˈvɪzɪt
visiting,ˈvɪzɪtɪŋ
VISITOR,ˈvɪzɪtə(r)
vocal,voʊkəl
VOICE,vɔɪs
VOICED,vɔɪst
voided,ˈvɔɪdɪd
VOLATILITY,@VOLATILITY
VOLUME,ˈvɒljuːm
vomit,vɒmɪt
voracious,vəreɪʃəs
VOTE,vəʊt
VOTER,ˈvəʊtə(r)
voting,ˈvəʊtɪŋ
VOUCHER,ˈvaʊtʃə(r)
VOW,vaʊ
VOWEL,ˈvaʊəl
VULNERABILITY,@VULNERABILITY
vulnerable,vʌlnərəbəl
WADE,weɪd
waft,wɒft
WAGE,weɪdʒ
WAGER,ˈweɪdʒə(r)
wages,ˈweɪdʒɪzweɪdʒɪz
waistcoat,weɪstkoʊt
WAIT,weɪt
waiting,weɪtɪŋ
waits,weɪts
waive,weɪv
WAIVER,ˈweɪvə(r)
waivers,ˈweɪvərz
WAKE,weɪk
waken,weɪkən
walk,wɔːk
walked,wɔ:kt
WALKING,ˈwɔːkɪŋ
WALL,wɔːl
walls,wɔ:lz
wan,wɒn
wander,wɒndə(r)
WANE,weɪn
waning,ˈweɪnɪŋ
WANT,wɒnt
WANTED,ˈwɒntɪd
WANTING,ˈwɒntɪŋ
WAR,wɔː(r)
WAREHOUSE,ˈweə(r)ˌhaʊs
WAREHOUSING,ˈweə(r)ˌhaʊzɪŋ
warm,wɔ:m
WARMING,ˈwɔː(r)mɪŋ
warmth,wɔː(r)mθ
WARN,wɔː(r)n
WARNING,ˈwɔː(r)nɪŋ
WARRANT,ˈwɒrənt
warranted,ˈwɒrəntɪd
was,wɒz
WASHING,ˈwɒʃɪŋ
wasn’t,@wasn’t
WASTED,ˈweɪstɪd
WATCH,wɒtʃ
WATCHDOG,ˈwɒtʃˌdɒɡ
watched,wɒtʃt
WATCHER,ˈwɒtʃə
-watching,-wɒtʃɪŋ
WATER,ˈwɔːtə(r)
watering,@watering
waters,ˈwɔːtəz
WAVE,weɪv
waves,weɪvz
way,weɪ
WAYS,weɪz
we,wi:
WEAK,wiːk
WEAKEN,ˈwiːkən
weakening,ˈwiːkənɪŋ
weakly,@weakly
WEAKNESS,ˈwiːknəs
WEALTHY,ˈwelθi
WEAN,wiːn
WEAPON,ˈwepən
wearied,ˈwɪərɪd
WEARING,ˈweərɪŋ
weary,wɪəri
WEATHER,ˈweðə(r)
weathering,ˈwɛðərɪŋ
webbed,webd
WEBSITE,ˈwebˌsaɪt
wedding,wedɪŋ
WEEK,wiːk
weekday,wiːkdeɪ
WEEKEND,ˌwiːkˈend
weekends,ˌwiːkˈɛndz
weekly,wiːkli
weeks,wi:ks
weeping,wi:pɪŋ
WEIGH,weɪ
WEIGHTED,ˈweɪtɪd
WEIGHTING,ˈweɪtɪŋ
WELCOME,ˈwelkəm
WELCOMING,ˈwelkəmɪŋ
well,wel
welling,ˈwɛlɪŋ
WEND,wend
went,went
were,wɜ:
werent,@werent
WET,wet
weve,@weve
WHALE,weɪl
whales,hweɪlz
WHALING,ˈweɪlɪŋ
what,wɒt
whatever,hwɒtevə(r)
whatsoever,hwɒtsoʊevə(r)
WHEEL,wiːl
WHEELBARROW,ˈwiːlˌbærəʊ
wheels,wiːlz
wheeze,hwiːz
whelp,hwelp
when,wen
where,weə
WHEREABOUTS,ˈweərəˌbaʊts
wherein,hweərɪn
Wherever,ˌweə'revə
whet,hwet
whether,weðə
which,wɪtʃ
while,hwaɪl
whimper,@whimper
whine,hwaɪn
whip,wɪp
WHIPSAW,ˈwɪpˌsɔː
whisper,hwɪspə(r)
whispered,wɪspəd
white,waɪt
Who,hu:
whole,həʊl
wholly,hoʊlli
whose,huːz
why,hwaɪ
WIDE,waɪd
WIDEN,ˈwaɪd(ə)n
widening,ˈwaɪdənɪŋ
widow,wɪdoʊ
widowed,wɪdoʊd
WIFE,waɪf
wild,waɪld
wildly,waɪldli
will,wɪl
WILLING,ˈwɪlɪŋ
WILT,wɪlt
WIN,wɪn
windfall,wɪndfɔːl
window,wɪndəʊ
windows,ˈwɪndəʊz
WINE,waɪn
wink,wɪŋk
WINNING,ˈwɪnɪŋ
winter,wɪntə(r)
WIPE,waɪp
WIRELESS,ˈwaɪə(r)ləs
WIRING,ˈwaɪərɪŋ
wisdom,wɪzdəm
wish,wɪʃ
wit,wɪt
WITCH,wɪtʃ
witchfinder,@witchfinder
witch-hunt,wɪtʃ
witching,ˈwɪtʃɪŋ
with,wɪð
WITHDRAW,wɪðˈdrɔː
WITHDRAWAL,wɪðˈdrɔːəl
withdrew,wɪðdruː
WITHHELD,wɪðˈheld
within,wɪðɪn
without,wɪð'aʊt
WITHSTAND,wɪðˈstænd
wives,waɪvz
wizard,wɪzə(r)d
wo,wəʊ
WOE,wəʊ
woes,wəʊz
woke,woʊk
woken,woʊkən
wolf,wʊlf
WOMAN,ˈwʊmən
Women,wɪmɪn
WON,wʌn
WONDER,ˈwʌndə(r)
wondered,wʌndəd
wondering,wʌndərɪŋ
wont,@wont
WOO,wuː
wood,wʊd
word,wɜ:d
words,wɜ:dz
WORK,wɜː(r)k
worked,wɜːkt
WORKER,ˈwɜː(r)kə(r)
WORKING,ˈwɜː(r)kɪŋ
WORKINGS,ˈwɜː(r)kɪŋz
WORKLOAD,ˈwɜː(r)kˌləʊd
works,wɜːks
world,wɜ:ld
WORM,wɜː(r)m
worms,wɜːmz
WORN,wɔː(r)n
WORRIED,ˈwʌrid
WORRY,ˈwʌri
WORRYING,ˈwʌriɪŋ
WORSE,wɜː(r)s
WORSEN,ˈwɜː(r)s(ə)n
worsening,ˈwɜːsənɪŋ
worst,wɜː(r)st
worth,wɜː(r)θ
wot,wɒt
would,wʊd
wouldn’t,@wouldn’t
woven,woʊvən
wow,waʊ
wrapping,ræpɪŋ
wrath,rɒθ
wreckage,rekɪdʒ
wrest,rest
wrestle,resəl
wrestling,reslɪŋ
wretch,retʃ
writing,raɪtɪŋ
written,rɪtən
wrong,rɒŋ
wrote,roʊt
Wylan,@Wylan
wytch,@wytch
yawn,jɔːn
ye,ji:
year,jɪə(r)
years,jɪəz
yelp,@yelp
yelping,ˈjɛlpɪŋ
yen,jen
yes,jes
yesterday,jestə(r)deɪ
yet,jet
yield,jɪəld
yielding,jɪəldɪŋ
you,ju:
you’re,@you’re
you’ve,@you’ve
youd,@youd
young,jʌŋ
younger,jʌŋgə
your,jɔ:
yours,jɔː(r)z
yourself,jɔ:'self
youth,juːθ
yowe,jaʊ
yuan,juːæn
zapped,zæpt
zero,zɪəroʊ
zone,zoʊn
Zoya,@Zoya
